code,year,habitatloss,co2emission
HUN,2016,14020.675,5444787.661
IDN,2016,2422071.537,1493774594
IMN,2016,17.57841298,6737.57238
IND,2016,175362.3446,87460835.73
IRL,2016,9388.156921,4569254.608
IRN,2016,2.407965007,651.3458419
IRQ,2016,0.491736271,128.6645504
ISR,2016,64.87129809,17544.85425
ITA,2016,24721.59098,8344360.111
JAM,2016,1991.389667,1013269.754
JPN,2016,54993.73162,26696887.86
KAZ,2016,1288.550612,459160.0347
KEN,2016,19048.30696,10463233.24
KGZ,2016,11.52477709,4120.674391
KHM,2016,182417.9536,109590486.2
KNA,2016,8.388895962,4716.259719
KOR,2016,22537.65417,7970883.398
LAO,2016,388035.2544,201564724.3
LBN,2016,266.2743406,79106.7175
LBR,2016,168585.9701,92276499.6
LBY,2016,0.5194896308,113.4326793
LCA,2016,107.1703849,60592.28802
LIE,2016,5.163633093,3233.916344
LKA,2016,17490.12522,6375582.178
LSO,2016,15.3432299,3469.16899
LTU,2016,25531.68712,9012102.999
LUX,2016,520.6800895,310562.1726
LVA,2016,44945.46223,15214969.06
MAR,2016,2041.202567,588420.175
MDA,2016,833.480387,261818.2885
MDG,2016,383655.625,197161060.1
MEX,2016,274182.5821,120406516.2
MKD,2016,1496.476601,677241.4088
MLI,2016,204.828311,70410.3217
MMR,2016,362552.3886,197851496.3
MNE,2016,1119.526833,632477.2458
MNG,2016,4142.11333,853860.9597
MOZ,2016,250552.8122,94288818.72
MSR,2016,6.268593425,3236.890005
MTQ,2016,26.05926788,11866.7519
MWI,2016,13509.33156,5580021.916
MYS,2016,565249.1818,305477480.7
MYT,2016,83.46931421,37920.90272
NAM,2016,1.320688188,327.3930011
NCL,2016,1323.908593,562418.2976
NGA,2016,72189.38697,40388600.04
NIC,2016,142443.7488,79005269.07
NLD,2016,1406.638251,641753.4713
NOR,2016,60081.68603,15604405.91
NPL,2016,998.5134169,513024.0016
NZL,2016,80358.60654,52854621.56
PAN,2016,17316.70324,9798615.482
PER,2016,230961.6289,146594850.7
PHL,2016,129109.7071,74015838.37
PNG,2016,177925.927,117624087.8
POL,2016,86510.33713,34999286.54
PRI,2016,599.274683,286463.2949
PRK,2016,11509.25396,4056404.946
PRT,2016,94646.72429,30616019.75
PRY,2016,319823.3132,77694834.26
PSE,2016,0,8.790573495
REU,2016,7.404617179,3375.716373
ROU,2016,23045.15408,11920387.79
RUS,2016,5051685.723,926800489.6
RWA,2016,2777.671918,1978872.792
SDN,2016,26.67710691,7170.970886
SEN,2016,254.5573539,68022.6169
SGP,2016,154.359628,60545.52532
SLB,2016,17992.75599,13988615.7
SLE,2016,177686.7568,82956473.89
SLV,2016,5743.541114,2901871.725
SOM,2016,86.37904766,15700.36734
SRB,2016,4676.280416,2394574.963
SSD,2016,4067.781885,1694663.101
SUR,2016,16877.59638,12403828.29
SVK,2016,16942.84433,9056121.66
SVN,2016,5394.618919,3164747.373
SWE,2016,310348.3257,80912142.69
SWZ,2016,4801.902607,2146525.41
SXM,2016,0.2929652296,104.2818061
SYR,2016,1812.673701,443817.4486
TCA,2016,18.88706691,5106.482525
TCD,2016,3165.963229,934001.5025
TGO,2016,3463.788823,1810000.646
THA,2016,171638.6155,97385021.42
TKM,2016,0.05944391226,0
TLS,2016,1296.46727,609327.7794
TTO,2016,1351.196137,757599.3941
TUN,2016,1454.956106,476040.6904
TUR,2016,25633.04773,7363234.548
TWN,2016,3322.02311,1482840.872
TZA,2016,152854.2293,53073242.59
UGA,2016,67486.04452,30427509.67
UKR,2016,106760.5108,40510105.97
URY,2016,23688.34861,40346956.52
USA,2016,2264066.75,983256163.9
VCT,2016,16.03810072,8940.743054
VEN,2016,207335.8249,107694135.8
VGB,2016,2.850242975,1369.71579
VIR,2016,8.64897168,3404.258958
VNM,2016,353446.0207,241958866.3
VUT,2016,1340.674312,734394.7794
XAD,2016,8.644499366,2228.247192
XKO,2016,912.2313166,504321.9874
XNC,2016,21.97465567,5803.461837
ZAF,2016,73546.06795,49279140.1
ZMB,2016,141637.1995,52336688.79
ZWE,2016,10955.48063,4252088.15
AGO,2017,280456.3211,96214139.53
AIA,2017,1.170810984,280.2151887
ALA,2017,735.1438004,224333.8142
ALB,2017,1689.025033,546737.942
AND,2017,3.422160395,1900.889172
ARG,2017,233919.6778,64714502.84
ARM,2017,41.74731802,10133.00519
ATG,2017,71.8984098,19989.641
AUS,2017,236876.4576,92649321.58
AUT,2017,18405.68973,9927591.224
AZE,2017,80.10105221,24527.75609
BDI,2017,1775.192777,818064.5105
BEL,2017,4137.322686,2269620.512
BEN,2017,2238.446401,1073958.103
BFA,2017,0,1860.90266
BGD,2017,28376.54723,15249439.95
BGR,2017,7687.856635,3347186.546
BHS,2017,3703.936227,1385515.634
BIH,2017,1339.314768,663941.108
BLM,2017,0.0733017678,26.61279871
BLR,2017,78767.08866,29805992.62
BLZ,2017,16366.2743,7972166.19
BOL,2017,463194.4714,215416370.2
BRA,2017,4519833.171,2622777846
BRB,2017,15.81409675,6107.122591
BRN,2017,944.7101789,655192.0974
BTN,2017,1972.244379,1062759.694
BWA,2017,1.157179653,271.892563
CAF,2017,63910.17759,30724957.62
CAN,2017,2559736.04,524084715
